label,category,latitude,longitude,commune_proche
Les Canalous,SportsAndLeisurePlace,47.59252,3.63768,Jougne
Belvédère des 2 chaumois,Landform,46.7388582,5.6814715,Jougne
Musée du Moule à Chocolat,CulturalSite,47.890294,3.326712,Jougne
Encadrement canoë | Latitude canoë,SportsAndLeisurePlace,47.0809391,6.1876248,Damprichard
Musée des Beaux-Arts-et-d'Archéologie,SportsAndLeisurePlace,47.23972,6.02236,Damprichard
La Pétanque Marnaysienne,SportsAndLeisurePlace,47.2876862,5.7724142,Damprichard
Escalade à Baume-les-Dames,SportsAndLeisurePlace,47.352715,6.361712,Damprichard
Agnès Claire Créations,CulturalSite,47.1136295,3.05073614,Jougne
Aéro-Club Val de Saône,SportsAndLeisurePlace,46.561336,4.97686639,Jougne
Le Marais d'Andryes,Landform,47.5423072,3.4700817,Jougne
France Fluviale - Location de bateaux,SportsAndLeisurePlace,47.664224,3.734992,Jougne
Location de Rosalie- Karts pédales - Vélos,SportsAndLeisurePlace,47.96173,6.08515,Damprichard
Site Archéologique de Saint-Clément,CulturalSite,46.2975443,4.82103289,Jougne
CCINO cyclo cross international de nommay organisation,SportsAndLeisurePlace,47.508935,6.802029,Damprichard
Maison des Grands Lacs,SportsAndLeisurePlace,47.196831,4.061997,Jougne
La crypte d'Alluy,CulturalSite,47.0344263,3.64061144,Jougne
"Rando VTT des Vignes ""Côte de Nuits""",SportsAndLeisurePlace,47.2934677,5.0012912,Jougne
Etang de Louvarel,SportsAndLeisurePlace,46.4959636,5.32370461,Jougne
