Nom,Insee,cp,arr,Canton,epci,pop,long,lat,alti,surf
Champvans,39101,39100,1,Dole-1,CA du Grand Dole,1460,47.10472,5.43750,230,14.31
Chassal-Molinges,39339,39360,3,Coteaux du Lizon,CC Haut-Jura Saint-Claude,1120,46.35333,5.76333,360,2.59
Chaussin,39128,39120,1,Tavaux,CC de la Plaine Jurassienne,1576,46.96583,5.40500,188,15.99
Choisey,39150,39100,1,Dole-2,CA du Grand Dole,1002,47.06306,5.46111,200,8.40
Clairvaux-les-Lacs,39154,39130,2,Saint-Laurent-en-Grandvaux,CC Terre d'Émeraude Communauté,1428,46.57417,5.74750,540,12.32
Coteaux du Lizon,39491,39170,3,Coteaux du Lizon,CC Haut-Jura Saint-Claude,2146,46.39778,5.78861,582,9.51
Courlaoux,39171,39570,2,Lons-le-Saunier-1,CA ECLA (Espace Communautaire Lons Agglomération),1179,46.66556,5.46111,220,12.55
Cousance,39173,39190,2,Saint-Amour,CC Porte du Jura,1290,46.52833,5.39000,230,6.55
Damparis,39189,39500,1,Dole-2,CA du Grand Dole,2590,47.07361,5.41194,200,8.86
Dampierre,39190,39700,1,Mont-sous-Vaudrey,CC Jura Nord,1316,47.15500,5.74139,240,7.10
le Deschaux,39193,39120,1,Tavaux,CA du Grand Dole,1030,46.94750,5.50167,225,8.69
Dole,39198,39100,1,Dole,CA du Grand Dole,23784,47.09167,5.49639,225,38.14
Domblans,39199,39210,2,Poligny,CC Bresse Haute Seille,1195,46.76278,5.59972,255,9.86
Foncine-le-Haut,39228,39460,2,Saint-Laurent-en-Grandvaux,CC Champagnole Nozeroy Jura,1107,46.65917,6.07556,860,29.05
Foucherans,39233,39100,1,Dole-1,CA du Grand Dole,2286,47.08055,5.45472,212,7.78
Fraisans,39235,39700,1,Mont-sous-Vaudrey,CC Jura Nord,1170,47.14917,5.76111,220,16.79
Hauts-de-Bienne,39368,39400,3,Hauts de Bienne,CC Haut-Jura Arcade Communauté,5099,46.51500,6.02500,750,9.71
Lavans-lès-Saint-Claude,39286,39170,3,Coteaux du Lizon,CC Haut-Jura Saint-Claude,2342,46.38361,5.78028,520,11.81
Longchaumois,39297,39400,3,Hauts de Bienne,CC Haut-Jura Arcade Communauté,1133,46.46139,5.93083,884,57.77
Lons-le-Saunier [3],39300,39000,2,Lons-le-Saunier,CA ECLA (Espace Communautaire Lons Agglomération),16942,46.67250,5.55222,267,7.67
Macornay,39306,39570,2,Lons-le-Saunier-2,CA ECLA (Espace Communautaire Lons Agglomération),1027,46.64444,5.53944,280,4.72
Moirans-en-Montagne,39333,39260,3,Moirans-en-Montagne,CC Terre d'Émeraude Communauté,2121,46.42972,5.72278,630,27.34
Mont-sous-Vaudrey,39365,39380,1,Mont-sous-Vaudrey,CC du Val d'Amour,1302,46.97944,5.60056,215,15.17
Montmorot,39362,39570,2,Lons-le-Saunier-1,CA ECLA (Espace Communautaire Lons Agglomération),3207,46.67694,5.52833,260,11.36
Morbier,39367,39400,3,Hauts de Bienne,CC Haut-Jura Arcade Communauté,2371,46.53472,6.01694,910,35.92
Mouchard,39370,39330,1,Mont-sous-Vaudrey,CC du Val d'Amour,1094,46.97500,5.79361,281,6.16
Orchamps,39396,39700,1,Mont-sous-Vaudrey,CC Jura Nord,1048,47.14917,5.66083,240,9.82
Orgelet,39397,39270,2,Moirans-en-Montagne,CC Terre d'Émeraude Communauté,1571,46.52250,5.61028,500,25.53
Parcey,39405,39100,1,Dole-2,CA du Grand Dole,1023,47.02278,5.48417,199,8.34
Perrigny,39411,39570,2,Poligny,CA ECLA (Espace Communautaire Lons Agglomération),1535,46.66833,5.58278,310,8.89
Petit-Noir,39415,39120,1,Tavaux,CC de la Plaine Jurassienne,1063,46.93444,5.33944,185,21.05
Poligny,39434,39800,1,Poligny,CC Arbois, Poligny, Salins, Coeur du Jura,4089,46.83444,5.70750,347,51.18
Prémanon,39441,39220,3,Hauts de Bienne,CC de la Station des Rousses-Haut Jura,1244,46.46167,6.03083,1120,28.23
les Rousses,39470,39220,3,Hauts de Bienne,CC de la Station des Rousses-Haut Jura,3702,46.48500,6.06056,1100,38.05
Saint-Amour,39475,39160,2,Saint-Amour,CC Porte du Jura,2364,46.43583,5.34083,225,11.57
Saint-Aubin,39476,39410,1,Tavaux,CA du Grand Dole,1855,47.03361,5.33028,188,33.68
Saint-Claude,39478,39200,3,Saint-Claude,CC Haut-Jura Saint-Claude,8556,46.38806,5.86361,434,70.23
Saint-Laurent-en-Grandvaux,39487,39150,3,Saint-Laurent-en-Grandvaux,CC la Grandvallière,1818,46.57500,5.95167,900,17.52
Salins-les-Bains,39500,39110,1,Arbois,CC Arbois, Poligny, Salins, Coeur du Jura,2430,46.94083,5.87778,357,25.05
Sampans,39501,39100,1,Dole-1,CA du Grand Dole,1114,47.12639,5.45556,220,7.50
Tavaux,39526,39500,1,Tavaux,CA du Grand Dole,3926,47.03389,5.40361,193,13.91
Val-Sonnette,39576,39190,2,Saint-Amour,CC Porte du Jura,1309,46.59889,5.47833,230,6.45
Cercy-la-Tour,58046,58340,1,Luzy,CC Bazois Loire Morvan,1683,46.87028,3.64417,200,45.45
Challuy,58051,58000,3,Nevers-3,CA de Nevers,1468,46.94917,3.14833,198,18.88
Chantenay-Saint-Imbert,58057,58240,3,Saint-Pierre-le-Moûtier,CC du Nivernais Bourbonnais,1090,46.73306,3.18417,220,42.24
la Charité-sur-Loire,58059,58400,4,La Charité-sur-Loire,CC Les Bertranges,4701,47.17889,3.01917,170,15.81
Château-Chinon (Ville),58062,58120,1,Château-Chinon,CC Morvan Sommets et Grands Lacs,1857,47.06500,3.93389,534,4.15
Chaulgnes,58067,58400,4,La Charité-sur-Loire,CC Les Bertranges,1503,47.13028,3.10528,224,25.22
Clamecy,58079,58500,2,Clamecy,CC Haut Nivernais-Val d'Yonne,3597,47.45861,3.51889,150,30.88
Corbigny,58083,58800,2,Corbigny,CC Tannay-Brinon-Corbigny,1330,47.25667,3.68472,200,20.25
